V,t
-74.06031899471019,15.850000000000001
-74.06401437336898,15.875
-74.06650119260391,15.9
-74.05010363325151,15.925
-74.03949229383905,15.950000000000001
-74.01452849444755,15.975000000000001
-73.9616117513475,16.0
-73.88198270210626,16.025000000000002
-73.79172310558812,16.05
-73.72175584195429,16.075
-73.6917856971767,16.1
-73.64870445565658,16.125
-73.60881904865707,16.150000000000002
-73.58694097452184,16.175
-73.58761013430251,16.2
-73.60509483175856,16.225
-73.61879652460276,16.25
-73.56028166144193,16.275000000000002
-73.49175805452434,16.3
-73.46969878621196,16.325
-73.49519001878427,16.35
-73.5139309944382,16.375
-73.47076975568187,16.400000000000002
-73.41708211233829,16.425
-73.37364920483233,16.45
-73.32299606335101,16.475
-73.25809124833684,16.5
-73.22951289640265,16.525000000000002
-73.20991653268953,16.55
-73.16951139674373,16.575
-73.08637850421489,16.6
-73.00399814389768,16.625
-72.9684235393104,16.650000000000002
-72.9755720657292,16.675
-72.97062211514657,16.7
-72.88498720265689,16.725
-72.78983068131926,16.75
-72.73803173399152,16.775000000000002
-72.74209260022323,16.8
-72.77741934181195,16.825
-72.78235371272906,16.85
-72.7432000809809,16.875
-72.6841080344405,16.900000000000002
-72.59485150043062,16.925
-72.48377994142879,16.95
-72.37781835506726,16.975
-72.3173711797685,17.0
-72.26913104251449,17.025000000000002
-72.22300012271317,17.05
-72.18590525456231,17.075
-72.15736359632903,17.1
-72.12948263034978,17.125
-72.08696016303043,17.150000000000002
-72.03764703616484,17.175
-72.01329162185985,17.2
-71.97477847570899,17.225
-71.9056117860885,17.25
-71.81588920338321,17.275000000000002
-71.74230183998668,17.3
-71.72484360235418,17.325
-71.70241685289989,17.35
-71.66149256161282,17.375
-71.60287085001607,17.400000000000002
-71.53142342394277,17.425
-71.45609357353597,17.45
-71.3892504978889,17.475
-71.33649496637219,17.5
-71.30266798646504,17.525000000000002
-71.28619815053885,17.55
-71.27621854311025,17.575
-71.25256674084109,17.6
-71.20124471747862,17.625
-71.14802411184337,17.650000000000002
-71.09058315374085,17.675
-71.02994440414516,17.7
-70.97364060927826,17.725
-70.93517790993023,17.75
-70.91775778883527,17.775000000000002
-70.91648579523331,17.8
-70.92261509963973,17.825
-70.92087178124336,17.85
-70.88945482790649,17.875
-70.83232273603481,17.900000000000002
-70.7908202318861,17.925
-70.76071606929729,17.95
-70.73254076830563,17.975
-70.69248897785107,18.0
-70.62351438774353,18.025000000000002
-70.57767158292394,18.05
-70.5532434045642,18.075
-70.51321972552404,18.1
-70.44507580409147,18.125
-70.36077228398274,18.150000000000002
-70.29338188403466,18.175
-70.23470062512853,18.2
-70.17485818707421,18.225
-70.11499480321912,18.25
-70.05687746358689,18.275000000000002
-70.0028999148775,18.3
-69.95608266046719,18.325
-69.9200729604085,18.35
-69.89914483143029,18.375
-69.88536421334322,18.400000000000002
-69.84348185548244,18.425
-69.77081934873496,18.45
-69.67662008005291,18.475
-69.58040916868916,18.5
-69.50486440236722,18.525000000000002
-69.41597650675926,18.55
-69.34702466761522,18.575
-69.32018507967949,18.6
-69.31830917615375,18.625
-69.28492362869686,18.650000000000002
-69.20581248066486,18.675
-69.12919703589802,18.7
-69.05499267295615,18.725
-68.98298514057223,18.75
-68.91285739759684,18.775000000000002
-68.84398604547243,18.8
-68.77942080741103,18.825
-68.73062880757891,18.85
-68.70413166378103,18.875
-68.6998589278369,18.900000000000002
-68.71114808558063,18.925
-68.72474455686086,18.95
-68.72080169554081,18.975
-68.68492613985279,19.0
-68.64129092956055,19.025000000000002
-68.59208169575547,19.05
-68.5377050357017,19.075
-68.47966902735588,19.1
-68.42058322936714,19.125
-68.36415868107706,19.150000000000002
-68.31520790251969,19.175
-68.26603136670315,19.200000000000003
-68.2035147251852,19.225
-68.13934047660196,19.25
-68.080774988601,19.275000000000002
-68.03010179248439,19.3
-67.98462158320866,19.325000000000003
-67.93665221938491,19.35
-67.87411128130545,19.375
-67.81034348831807,19.400000000000002
-67.74929059307856,19.425
-67.68367387239863,19.450000000000003
-67.61118397865155,19.475
-67.5344809397721,19.5
-67.46119415925654,19.525000000000002
-67.4039224161627,19.55
-67.37347294261183,19.575000000000003
-67.3354989095142,19.6
-67.27746855645017,19.625
-67.20119010289314,19.650000000000002
-67.11653109417016,19.675
-67.0414184014619,19.700000000000003
-67.00005993534538,19.725
-66.95988410082614,19.75
-66.9093546228503,19.775000000000002
-66.85914406030162,19.8
-66.81251301036667,19.825000000000003
-66.76531010853486,19.85
-66.70597202859845,19.875
-66.64851657111197,19.900000000000002
-66.61505735531988,19.925
-66.58561346123203,19.950000000000003
-66.54755213148913,19.975
-66.49593796354728,20.0
-66.43353290967796,20.025000000000002
-66.3707962769681,20.05
-66.31960546418554,20.075000000000003
-66.27205452263298,20.1
-66.22624741144055,20.125
-66.18139551262455,20.150000000000002
-66.13684571610298,20.175
-66.09208041969563,20.200000000000003
-66.04671752912405,20.225
-66.00051045801148,20.25
-65.95334812788295,20.275000000000002
-65.90525496816521,20.3
-65.8600486857869,20.325000000000003
-65.82441034221273,20.35
-65.77730102348296,20.375
-65.70468347203591,20.400000000000002
-65.60341114654098,20.425
-65.48122822189859,20.450000000000003
-65.35676958924029,20.475
-65.2595608559286,20.5
-65.21399870242085,20.525000000000002
-65.17367255388169,20.55
-65.10966810643274,20.575000000000003
-65.01112691749631,20.6
-64.88215359445003,20.625
-64.74181579462672,20.650000000000002
-64.62414422531461,20.675
-64.57424409782902,20.700000000000003
-64.55733907714537,20.725
-64.52962202422823,20.75
-64.47705631453958,20.775000000000002
-64.39833262201608,20.8
